exo 3 : PRODUIT SCALAIRE

&x[0] = 0x55567c0d70d0
&y[0] = 0x55567c0d9010
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            1000           0.5            
4096           16             2              128            1000           0.5            
4096           16             4              64             1000           0.5            
4096           32             1              128            1000           0.251          
4096           32             2              64             1000           0.251          
4096           32             4              32             1000           0.251          
4096           64             1              64             1000           0.126          
4096           64             2              32             1000           0.126          
4096           64             4              16             1000           0.126          
8192           16             1              512            1000           0.5            
8192           16             2              256            1000           0.5            
8192           16             4              128            1000           0.5            
8192           32             1              256            1000           0.2505         
8192           32             2              128            1000           0.251          
8192           32             4              64             1000           0.251          
8192           64             1              128            1000           0.1255         
8192           64             2              64             1000           0.126          
8192           64             4              32             1000           0.126          
16384          16             1              1024           1000           0.5            
16384          16             2              512            1000           0.5            
16384          16             4              256            1000           0.5            
16384          32             1              512            1000           0.2505         
16384          32             2              256            1000           0.2505         
16384          32             4              128            1000           0.2505         
16384          64             1              256            1000           0.1255         
16384          64             2              128            1000           0.1255         
16384          64             4              64             1000           0.1255         
