exo 3 : PRODUIT SCALAIRE

&x[0] = 0x558dd90760d0
&y[0] = 0x558dd90780d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            1024           1              
4096           16             2              128            1024           0.5            
4096           16             4              64             1024           0.5            
4096           32             1              128            1024           1              
4096           32             2              64             1024           0.250977       
4096           32             4              32             1024           0.250977       
4096           64             1              64             1024           1              
4096           64             2              32             1024           0.125977       
4096           64             4              16             1024           0.125977       
8192           16             1              512            1024           1              
8192           16             2              256            1024           0.5            
8192           16             4              128            1024           0.5            
8192           32             1              256            1024           0.999512       
8192           32             2              128            1024           0.250977       
8192           32             4              64             1024           0.250977       
8192           64             1              128            1024           0.999512       
8192           64             2              64             1024           0.125977       
8192           64             4              32             1024           0.125977       
16384          16             1              1024           1024           0.5            
16384          16             2              512            1024           0.5            
16384          16             4              256            1024           0.5            
16384          32             1              512            1024           0.250488       
16384          32             2              256            1024           0.250488       
16384          32             4              128            1024           0.250488       
16384          64             1              256            1024           0.125488       
16384          64             2              128            1024           0.125488       
16384          64             4              64             1024           0.125488       
