exo 3 : PRODUIT SCALAIRE

&x[0] = 0x55c95aea50d0
&y[0] = 0x55c95aea60d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            512            1              
4096           16             2              128            512            0.5            
4096           16             4              64             512            0.5            
4096           32             1              128            512            0.999023       
4096           32             2              64             512            0.251953       
4096           32             4              32             512            0.251953       
4096           64             1              64             512            0.999023       
4096           64             2              32             512            0.126953       
4096           64             4              16             512            0.126953       
8192           16             1              512            512            0.5            
8192           16             2              256            512            0.5            
8192           16             4              128            512            0.5            
8192           32             1              256            512            0.250977       
8192           32             2              128            512            0.250977       
8192           32             4              64             512            0.250977       
8192           64             1              128            512            0.125977       
8192           64             2              64             512            0.125977       
8192           64             4              32             512            0.125977       
16384          16             1              1024           512            0.5            
16384          16             2              512            512            0.5            
16384          16             4              256            512            0.5            
16384          32             1              512            512            0.250977       
16384          32             2              256            512            0.250977       
16384          32             4              128            512            0.250977       
16384          64             1              256            512            0.125977       
16384          64             2              128            512            0.125977       
16384          64             4              64             512            0.125977       
