exo 3 : PRODUIT SCALAIRE

&x[0] = 0x5592192e90d0
&y[0] = 0x5592192e92d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            64             0.5            
4096           16             2              128            64             0.5            
4096           16             4              64             64             0.5            
4096           32             1              128            64             0.257812       
4096           32             2              64             64             0.257812       
4096           32             4              32             64             0.257812       
4096           64             1              64             64             0.132812       
4096           64             2              32             64             0.132812       
4096           64             4              16             64             0.132812       
8192           16             1              512            64             0.5            
8192           16             2              256            64             0.5            
8192           16             4              128            64             0.5            
8192           32             1              256            64             0.257812       
8192           32             2              128            64             0.257812       
8192           32             4              64             64             0.257812       
8192           64             1              128            64             0.132812       
8192           64             2              64             64             0.132812       
8192           64             4              32             64             0.132812       
16384          16             1              1024           64             0.5            
16384          16             2              512            64             0.5            
16384          16             4              256            64             0.5            
16384          32             1              512            64             0.257812       
16384          32             2              256            64             0.257812       
16384          32             4              128            64             0.257812       
16384          64             1              256            64             0.132812       
16384          64             2              128            64             0.132812       
16384          64             4              64             64             0.132812       
