exo 4 : PRODUIT MATRICE VECTEUR

&x[0][0] = 0x56075904f0d0
&y[0]    = 0x560759062950
&z[0]    = 0x560759062c70
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            100            0.301443       
4096           16             2              128            100            0.253731       
4096           16             4              64             100            0.253731       
4096           32             1              128            100            0.152289       
4096           32             2              64             100            0.126915       
4096           32             4              32             100            0.126915       
4096           64             1              64             100            0.0853731      
4096           64             2              32             100            0.0634826      
4096           64             4              16             100            0.0634826      
8192           16             1              512            100            0.276368       
8192           16             2              256            100            0.253731       
8192           16             4              128            100            0.253731       
8192           32             1              256            100            0.139005       
8192           32             2              128            100            0.126915       
8192           32             4              64             100            0.126915       
8192           64             1              128            100            0.0747761      
8192           64             2              64             100            0.0634826      
8192           64             4              32             100            0.0634826      
16384          16             1              1024           100            0.263831       
16384          16             2              512            100            0.253731       
16384          16             4              256            100            0.253731       
16384          32             1              512            100            0.132289       
16384          32             2              256            100            0.126915       
16384          32             4              128            100            0.126915       
16384          64             1              256            100            0.0712438      
16384          64             2              128            100            0.0634826      
16384          64             4              64             100            0.0634826      
