exo 4 : PRODUIT MATRICE VECTEUR

&x[0][0] = 0x7f068b6e7010
&y[0]    = 0x7f068bee7010
&z[0]    = 0x7f068bee9010
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            1024           1              
4096           16             2              128            1024           0.500244       
4096           16             4              64             1024           0.500244       
4096           32             1              128            1024           0.999999       
4096           32             2              64             1024           0.25086        
4096           32             4              32             1024           0.250854       
4096           64             1              64             1024           0.999997       
4096           64             2              32             1024           0.125925       
4096           64             4              16             1024           0.125913       
8192           16             1              512            1024           1              
8192           16             2              256            1024           0.500244       
8192           16             4              128            1024           0.500244       
8192           32             1              256            1024           0.999999       
8192           32             2              128            1024           0.250856       
8192           32             4              64             1024           0.250854       
8192           64             1              128            1024           0.999997       
8192           64             2              64             1024           0.125917       
8192           64             4              32             1024           0.125913       
16384          16             1              1024           1024           0.625183       
16384          16             2              512            1024           0.251098       
16384          16             4              256            1024           0.251585       
16384          32             1              512            1024           0.562836       
16384          32             2              256            1024           0.12701        
16384          32             4              128            1024           0.12798        
16384          64             1              256            1024           0.531539       
16384          64             2              128            1024           0.064476       
16384          64             4              64             1024           0.0654397      
