exo 4 : PRODUIT MATRICE VECTEUR

&x[0][0] = 0x7fbbd6433010
&y[0]    = 0x7fbbd6633010
&z[0]    = 0x7fbbd6634010
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            512            1              
4096           16             2              128            512            0.500488       
4096           16             4              64             512            0.500488       
4096           32             1              128            512            0.999994       
4096           32             2              64             512            0.251715       
4096           32             4              32             512            0.251705       
4096           64             1              64             512            0.999987       
4096           64             2              32             512            0.126837       
4096           64             4              16             512            0.12682        
8192           16             1              512            512            0.625366       
8192           16             2              256            512            0.252193       
8192           16             4              128            512            0.253167       
8192           32             1              256            512            0.563171       
8192           32             2              128            512            0.129013       
8192           32             4              64             512            0.130938       
8192           64             1              128            512            0.531825       
8192           64             2              64             512            0.0664367      
8192           64             4              32             512            0.0683384      
16384          16             1              1024           512            0.437805       
16384          16             2              512            512            0.250732       
16384          16             4              256            512            0.250732       
16384          32             1              512            512            0.344144       
16384          32             2              256            512            0.125368       
16384          32             4              128            512            0.125368       
16384          64             1              256            512            0.297191       
16384          64             2              128            512            0.0626848      
16384          64             4              64             512            0.0626848      
