exo 4 : PRODUIT MATRICE VECTEUR

&x[0][0] = 0x55620f0fa0d0
&y[0]    = 0x55620f1020d0
&z[0]    = 0x55620f1022d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      

4096           16             1              256            64             0.34593        
4096           16             2              128            64             0.255814       
4096           16             4              64             64             0.255814       
4096           32             1              128            64             0.236313       
4096           32             2              64             64             0.128028       
4096           32             4              32             64             0.128028       
4096           64             1              64             64             0.18108        
4096           64             2              32             64             0.0640746      
4096           64             4              16             64             0.0640746      
8192           16             1              512            64             0.298934       
8192           16             2              256            64             0.255814       
8192           16             4              128            64             0.255814       
8192           32             1              256            64             0.18108        
8192           32             2              128            64             0.128028       
8192           32             4              64             64             0.128028       
8192           64             1              128            64             0.121972       
8192           64             2              64             64             0.0640746      
8192           64             4              32             64             0.0640746      
16384          16             1              1024           64             0.275436       
16384          16             2              512            64             0.255814       
16384          16             4              256            64             0.255814       
16384          32             1              512            64             0.153464       
16384          32             2              256            64             0.128028       
16384          32             4              128            64             0.128028       
16384          64             1              256            64             0.0924176      
16384          64             2              128            64             0.0640746      
16384          64             4              64             64             0.0640746      
