exo 5 : IJK

&x[0][0] = 0x7fb3ae538010
&y[0][0] = 0x7fb3ae54b890
&z[0][0] = 0x7fb3ae55f110
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            100            0.403271       0.810575       
4096           16             2              128            100            0.375385       0.754524       
4096           16             4              64             100            0.301051       0.605112       
4096           32             1              128            100            0.302774       0.608575       
4096           32             2              64             100            0.311681       0.626479       
4096           32             4              32             100            0.20504        0.412131       
4096           64             1              64             100            0.491503       0.987921       
4096           64             2              32             100            0.554883       1.11531        
4096           64             4              16             100            0.5696         1.1449         
8192           16             1              512            100            0.326077       0.655415       
8192           16             2              256            100            0.257574       0.517724       
8192           16             4              128            100            0.253731       0.51           
8192           32             1              256            100            0.212155       0.426432       
8192           32             2              128            100            0.13831        0.278003       
8192           32             4              64             100            0.126965       0.2552         
8192           64             1              128            100            0.401089       0.806188       
8192           64             2              64             100            0.182576       0.366978       
8192           64             4              32             100            0.12753        0.256335       
16384          16             1              1024           100            0.289904       0.582708       
16384          16             2              512            100            0.253731       0.51           
16384          16             4              256            100            0.253731       0.51           
16384          32             1              512            100            0.169558       0.340812       
16384          32             2              256            100            0.129693       0.260682       
16384          32             4              128            100            0.126965       0.2552         
16384          64             1              256            100            0.374338       0.75242        
16384          64             2              128            100            0.11748        0.236135       
16384          64             4              64             100            0.0636687      0.127974       
