exo 5 : IJK

&x[0][0] = 0x55d0b07720d0
&y[0][0] = 0x55d0b07728d0
&z[0][0] = 0x55d0b07730d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            16             0.0890151      0.183594       
4096           16             2              128            16             0.111624       0.230225       
4096           16             4              64             16             0.0454545      0.09375        
4096           32             1              128            16             0.0759943      0.156738       
4096           32             2              64             16             0.096946       0.199951       
4096           32             4              32             16             0.0233191      0.0480957      
4096           64             1              64             16             0.0684186      0.141113       
4096           64             2              32             16             0.0853456      0.176025       
4096           64             4              16             16             0.0119555      0.0246582      
8192           16             1              512            16             0.0454545      0.09375        
8192           16             2              256            16             0.0454545      0.09375        
8192           16             4              128            16             0.0454545      0.09375        
8192           32             1              256            16             0.0228456      0.0471191      
8192           32             2              128            16             0.0228456      0.0471191      
8192           32             4              64             16             0.0228456      0.0471191      
8192           64             1              128            16             0.011482       0.0236816      
8192           64             2              64             16             0.011482       0.0236816      
8192           64             4              32             16             0.011482       0.0236816      
16384          16             1              1024           16             0.0454545      0.09375        
16384          16             2              512            16             0.0454545      0.09375        
16384          16             4              256            16             0.0454545      0.09375        
16384          32             1              512            16             0.0228456      0.0471191      
16384          32             2              256            16             0.0228456      0.0471191      
16384          32             4              128            16             0.0228456      0.0471191      
16384          64             1              256            16             0.011482       0.0236816      
16384          64             2              128            16             0.011482       0.0236816      
16384          64             4              64             16             0.011482       0.0236816      
