exo 5 : IJK

&x[0][0] = 0x561abcc920d0
&y[0][0] = 0x561abcc9a0d0
&z[0][0] = 0x561abcca20d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            64             0.519925       1.04797        
4096           16             2              128            64             0.518804       1.04572        
4096           16             4              64             64             0.518593       1.04529        
4096           32             1              128            64             0.518485       1.04507        
4096           32             2              64             64             0.515441       1.03894        
4096           32             4              32             64             0.515262       1.03857        
4096           64             1              64             64             0.52093        1.05           
4096           64             2              32             64             0.514102       1.03624        
4096           64             4              16             64             0.513922       1.03587        
8192           16             1              512            64             0.519198       1.04651        
8192           16             2              256            64             0.518335       1.04477        
8192           16             4              128            64             0.517866       1.04382        
8192           32             1              256            64             0.516933       1.04194        
8192           32             2              128            64             0.515184       1.03842        
8192           32             4              64             64             0.514929       1.0379         
8192           64             1              128            64             0.517531       1.04315        
8192           64             2              64             64             0.51395        1.03593        
8192           64             4              32             64             0.513831       1.03569        
16384          16             1              1024           64             0.518471       1.04504        
16384          16             2              512            64             0.517374       1.04283        
16384          16             4              256            64             0.516412       1.04089        
16384          32             1              512            64             0.515862       1.03978        
16384          32             2              256            64             0.514692       1.03743        
16384          32             4              128            64             0.514202       1.03644        
16384          64             1              256            64             0.515627       1.03931        
16384          64             2              128            64             0.5137         1.03543        
16384          64             4              64             64             0.513452       1.03493        
