exo 6 : IJKT

&x[0][0]  = 0x7f57db7da010
&y[0][0]  = 0x7f57db7ed890
&z[0][0]  = 0x7f57db801110
&yt[0][0] = 0x7f57db814990
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            100            0.312305       0.633979       
4096           16             2              128            100            0.25882        0.525404       
4096           16             4              64             100            0.25647        0.520634       
4096           32             1              128            100            0.164659       0.334257       
4096           32             2              64             100            0.131639       0.267228       
4096           32             4              32             100            0.128649       0.261158       
4096           64             1              64             100            0.100477       0.203969       
4096           64             2              32             100            0.0709744      0.144078       
4096           64             4              16             100            0.0684         0.138852       
8192           16             1              512            100            0.283177       0.574849       
8192           16             2              256            100            0.257132       0.521977       
8192           16             4              128            100            0.256154       0.519992       
8192           32             1              256            100            0.145431       0.295224       
8192           32             2              128            100            0.129378       0.262638       
8192           32             4              64             100            0.128176       0.260197       
8192           64             1              128            100            0.0841305      0.170785       
8192           64             2              64             100            0.0662655      0.134519       
8192           64             4              32             100            0.064536       0.131008       
16384          16             1              1024           100            0.26822        0.544486       
16384          16             2              512            100            0.256112       0.519907       
16384          16             4              256            100            0.256131       0.519945       
16384          32             1              512            100            0.134695       0.27343        
16384          32             2              256            100            0.128151       0.260146       
16384          32             4              128            100            0.128162       0.260168       
16384          64             1              256            100            0.0704148      0.142942       
16384          64             2              128            100            0.0644906      0.130916       
16384          64             4              64             100            0.0641305      0.130185       
