exo 6 : IJKT

&x[0][0]  = 0x56524101f0d0
&y[0][0]  = 0x56524101f8d0
&z[0][0]  = 0x5652410200d0
&yt[0][0] = 0x5652410208d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            16             0.107143       0.234375       
4096           16             2              128            16             0.0747768      0.163574       
4096           16             4              64             16             0.0575893      0.125977       
4096           32             1              128            16             0.0861607      0.188477       
4096           32             2              64             16             0.041183       0.0900879      
4096           32             4              32             16             0.0299107      0.0654297      
4096           64             1              64             16             0.0738839      0.161621       
4096           64             2              32             16             0.0251116      0.0549316      
4096           64             4              16             16             0.0155134      0.0339355      
8192           16             1              512            16             0.0571429      0.125          
8192           16             2              256            16             0.0571429      0.125          
8192           16             4              128            16             0.0571429      0.125          
8192           32             1              256            16             0.0287946      0.0629883      
8192           32             2              128            16             0.0289063      0.0632324      
8192           32             4              64             16             0.0287946      0.0629883      
8192           64             1              128            16             0.0145089      0.0317383      
8192           64             2              64             16             0.0146205      0.0319824      
8192           64             4              32             16             0.0145089      0.0317383      
16384          16             1              1024           16             0.0571429      0.125          
16384          16             2              512            16             0.0571429      0.125          
16384          16             4              256            16             0.0571429      0.125          
16384          32             1              512            16             0.028683       0.0627441      
16384          32             2              256            16             0.028683       0.0627441      
16384          32             4              128            16             0.028683       0.0627441      
16384          64             1              256            16             0.0143973      0.0314941      
16384          64             2              128            16             0.0143973      0.0314941      
16384          64             4              64             16             0.0143973      0.0314941      
