exo 6 : IJKT

&x[0][0]  = 0x7f34b3fba010
&y[0][0]  = 0x7f34b3fc2010
&z[0][0]  = 0x7f34b3fca010
&yt[0][0] = 0x7f34b3fd2010
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            64             0.364936       0.746979       
4096           16             2              128            64             0.266192       0.544861       
4096           16             4              64             64             0.263359       0.539062       
4096           32             1              128            64             0.255651       0.523285       
4096           32             2              64             64             0.139166       0.284855       
4096           32             4              32             64             0.135619       0.277596       
4096           64             1              64             64             0.200384       0.41016        
4096           64             2              32             64             0.0758308      0.155216       
4096           64             4              16             64             0.0716879      0.146736       
8192           16             1              512            64             0.319843       0.654678       
8192           16             2              256            64             0.264775       0.541962       
8192           16             4              128            64             0.263359       0.539062       
8192           32             1              256            64             0.202357       0.4142         
8192           32             2              128            64             0.137392       0.281223       
8192           32             4              64             64             0.135619       0.277596       
8192           64             1              128            64             0.143242       0.293198       
8192           64             2              64             64             0.0737584      0.150974       
8192           64             4              32             64             0.0716879      0.146736       
16384          16             1              1024           64             0.297296       0.608528       
16384          16             2              512            64             0.264067       0.540512       
16384          16             4              256            64             0.263359       0.539062       
16384          32             1              512            64             0.17571        0.359657       
16384          32             2              256            64             0.136504       0.279408       
16384          32             4              128            64             0.135619       0.277596       
16384          64             1              256            64             0.114672       0.234718       
16384          64             2              128            64             0.0727222      0.148853       
16384          64             4              64             64             0.0716879      0.146736       
