exo 7 : IKJ

&x[0][0] = 0x7ff4cd5e0010
&y[0][0] = 0x7ff4cd5f3890
&z[0][0] = 0x7ff4cd607110
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            100            0.207018       0.623125       
4096           16             2              128            100            0.170724       0.51388        
4096           16             4              64             100            0.169435       0.51           
4096           32             1              128            100            0.10891        0.32782        
4096           32             2              64             100            0.0863419      0.259889       
4096           32             4              32             100            0.0847512      0.255101       
4096           64             1              64             100            0.064894       0.195331       
4096           64             2              32             100            0.0441894      0.13301        
4096           64             4              16             100            0.0423924      0.127601       
8192           16             1              512            100            0.185644       0.558788       
8192           16             2              256            100            0.170084       0.511952       
8192           16             4              128            100            0.169435       0.51           
8192           32             1              256            100            0.0933645      0.281027       
8192           32             2              128            100            0.0855525      0.257513       
8192           32             4              64             100            0.0847512      0.255101       
8192           64             1              128            100            0.0484362      0.145793       
8192           64             2              64             100            0.0432967      0.130323       
8192           64             4              32             100            0.0423924      0.127601       
16384          16             1              1024           100            0.177539       0.534393       
16384          16             2              512            100            0.169435       0.51           
16384          16             4              256            100            0.169435       0.51           
16384          32             1              512            100            0.0890565      0.26806        
16384          32             2              256            100            0.0847512      0.255101       
16384          32             4              128            100            0.0847512      0.255101       
16384          64             1              256            100            0.046099       0.138758       
16384          64             2              128            100            0.0423924      0.127601       
16384          64             4              64             100            0.0423924      0.127601       
