exo 7 : IKJ

&x[0][0] = 0x55fce61fa0d0
&y[0][0] = 0x55fce61fa8d0
&z[0][0] = 0x55fce61fb0d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            16             0.059949       0.183594       
4096           16             2              128            16             0.0420121      0.128662       
4096           16             4              64             16             0.0306122      0.09375        
4096           32             1              128            16             0.0510204      0.15625        
4096           32             2              64             16             0.0229592      0.0703125      
4096           32             4              32             16             0.0157844      0.0483398      
4096           64             1              64             16             0.0459184      0.140625       
4096           64             2              32             16             0.0140306      0.0429688      
4096           64             4              16             16             0.00813138     0.0249023      
8192           16             1              512            16             0.0306122      0.09375        
8192           16             2              256            16             0.0306122      0.09375        
8192           16             4              128            16             0.0306122      0.09375        
8192           32             1              256            16             0.0153858      0.0471191      
8192           32             2              128            16             0.0153858      0.0471191      
8192           32             4              64             16             0.0153858      0.0471191      
8192           64             1              128            16             0.00773278     0.0236816      
8192           64             2              64             16             0.00773278     0.0236816      
8192           64             4              32             16             0.00773278     0.0236816      
16384          16             1              1024           16             0.0306122      0.09375        
16384          16             2              512            16             0.0306122      0.09375        
16384          16             4              256            16             0.0306122      0.09375        
16384          32             1              512            16             0.0153858      0.0471191      
16384          32             2              256            16             0.0153858      0.0471191      
16384          32             4              128            16             0.0153858      0.0471191      
16384          64             1              256            16             0.00773278     0.0236816      
16384          64             2              128            16             0.00773278     0.0236816      
16384          64             4              64             16             0.00773278     0.0236816      
