exo 7 : IKJ

&x[0][0] = 0x55999472c0d0
&y[0][0] = 0x5599947340d0
&z[0][0] = 0x55999473c0d0
sizeof(double) = 8

TOTAL_SIZE     LINE_SIZE      LINES_PER_SET  NUM_SETS       N              Miss rate      Miss/(N*N*N)   

4096           16             1              256            64             0.240852       0.726318       
4096           16             2              128            64             0.171632       0.517578       
4096           16             4              64             64             0.170984       0.515625       
4096           32             1              128            64             0.16905        0.509792       
4096           32             2              64             64             0.0867268      0.261536       
4096           32             4              32             64             0.0855744      0.25806        
4096           64             1              64             64             0.132093       0.398342       
4096           64             2              32             64             0.0443855      0.13385        
4096           64             4              16             64             0.0428283      0.129154       
8192           16             1              512            64             0.209764       0.632568       
8192           16             2              256            64             0.171308       0.516602       
8192           16             4              128            64             0.170984       0.515625       
8192           32             1              256            64             0.131845       0.397594       
8192           32             2              128            64             0.08615        0.259796       
8192           32             4              64             64             0.0855744      0.25806        
8192           64             1              128            64             0.0923168      0.278393       
8192           64             2              64             64             0.0436063      0.1315         
8192           64             4              32             64             0.0428283      0.129154       
16384          16             1              1024           64             0.19422        0.585693       
16384          16             2              512            64             0.171146       0.516113       
16384          16             4              256            64             0.170984       0.515625       
16384          32             1              512            64             0.113242       0.341496       
16384          32             2              256            64             0.0858616      0.258926       
16384          32             4              128            64             0.0855744      0.25806        
16384          64             1              256            64             0.0724288      0.218418       
16384          64             2              128            64             0.0432167      0.130325       
16384          64             4              64             64             0.0428283      0.129154       
